"event_number","event_number_niskin","ship","cruise_ID","date_time_utc","latitude","longitude","depth","replicate","POC_micromolar","PON_micromolar","POC_microg_perL","PON_microg_perL","C_to_N_molar_ratio","C_quality_flag","N_quality_flag"
"MVCO_305","MVCO_305_01",,,"2012-11-06 16:13:00",41.325,-70.565,15,"a",21.146,2.815,253.979,39.426,7.512,1,1
"MVCO_305","MVCO_305_02",,,"2012-11-06 16:13:00",41.325,-70.565,10,"a",18.053,2.63,216.835,36.832,6.865,1,1
"MVCO_305","MVCO_305_03",,,"2012-11-06 16:13:00",41.325,-70.565,6,"a",20.331,3.074,244.193,43.058,6.614,1,1
"MVCO_305","MVCO_305_04",,,"2012-11-06 16:13:00",41.325,-70.565,2,"a",17.202,2.519,206.603,35.276,6.83,1,1
"MVCO_306","MVCO_306_01",,,"2013-01-11 18:08:00",41.325,-70.565,15.5,"a",31.165,4.426,374.308,61.993,7.041,1,1
"MVCO_306","MVCO_306_02",,,"2013-01-11 18:08:00",41.325,-70.565,10,"a",24.868,3.352,298.686,46.948,7.419,1,1
"MVCO_306","MVCO_306_03",,,"2013-01-11 18:08:00",41.325,-70.565,6,"a",22.368,3.056,268.659,42.798,7.321,1,1
"MVCO_306","MVCO_306_04",,,"2013-01-11 18:08:00",41.325,-70.565,2,"a",21.757,3.019,261.319,42.279,7.208,1,1
"MVCO_307","MVCO_307_01",,,"2013-02-14 18:09:00",41.325,-70.565,15,"a",53.498,6.981,642.547,97.788,7.663,1,1
"MVCO_307","MVCO_307_02",,,"2013-02-14 18:09:00",41.325,-70.565,10,"a",40.628,5.093,487.965,71.33,7.978,1,1
"MVCO_307","MVCO_307_03",,,"2013-02-14 18:09:00",41.325,-70.565,6,"a",37.998,4.852,456.382,67.958,7.832,1,1
"MVCO_307","MVCO_307_04",,,"2013-02-14 18:09:00",41.325,-70.565,2,"a",32.313,4.167,388.098,58.361,7.755,1,1
"MVCO_308","MVCO_308_01",,,"2013-03-03 21:30:00",41.325,-70.565,15,"a",37.524,5.5,450.691,77.037,6.823,1,1
"MVCO_308","MVCO_308_02",,,"2013-03-03 21:30:00",41.325,-70.565,10,"a",40.543,5.685,486.946,79.631,7.131,1,1
"MVCO_308","MVCO_308_03",,,"2013-03-03 21:30:00",41.325,-70.565,6,"a",38.006,4.463,456.474,62.511,8.516,1,1
"MVCO_308","MVCO_308_03",,,"2013-03-03 21:30:00",41.325,-70.565,6,"b",37.228,4.611,447.133,64.586,8.074,1,1
"MVCO_308","MVCO_308_04",,,"2013-03-03 21:30:00",41.325,-70.565,0,"a",46.395,5.704,557.231,79.89,8.134,1,1
"MVCO_308","MVCO_308_04",,,"2013-03-03 21:30:00",41.325,-70.565,0,"b",53.246,5.926,639.526,83.003,8.985,1,1
"MVCO_309","MVCO_309_01",,,"2013-04-04 14:10:00",41.3243,-70.5657,14.8,"a",26.768,4.17,321.497,58.413,6.418,1,1
"MVCO_309","MVCO_309_02",,,"2013-04-04 14:10:00",41.3243,-70.5657,10,"a",20.934,2.856,251.434,39.997,7.331,1,1
"MVCO_309","MVCO_309_03",,,"2013-04-04 14:10:00",41.3243,-70.5657,6,"a",29.138,4.522,349.966,63.342,6.443,1,1
"MVCO_309","MVCO_309_04",,,"2013-04-04 14:10:00",41.3243,-70.5657,3,"a",26.471,3.967,317.938,55.56,6.673,1,1
"MVCO_309","MVCO_309_01",,,"2013-04-04 14:10:00",41.3243,-70.5657,14.8,"b",26.175,3.467,314.379,48.557,7.55,1,1
"MVCO_309","MVCO_309_04",,,"2013-04-04 14:10:00",41.3243,-70.5657,3,"b",24.601,3.393,295.473,47.519,7.251,1,1
"MVCO_310","MVCO_310_01",,,"2013-04-29 18:30:00",41.3243,-70.5657,15,"a",37.045,2.096,444.94,29.362,17.672,1,1
"MVCO_310","MVCO_310_02",,,"2013-04-29 18:30:00",41.3243,-70.5657,10,"a",24.323,3.152,292.137,44.147,7.717,1,1
"MVCO_310","MVCO_310_03",,,"2013-04-29 18:30:00",41.3243,-70.5657,6,"a",17.027,2.244,204.503,31.438,7.586,1,1
"MVCO_310","MVCO_310_04",,,"2013-04-29 18:30:00",41.3243,-70.5657,2,"a",17.693,2.319,212.511,32.475,7.631,1,1
"MVCO_311","MVCO_311_00",,,"2013-05-07 20:00:00",41.3243,-70.5657,0,"a",16.434,2.207,197.386,30.919,7.445,1,1
"MVCO_311","MVCO_311_00",,,"2013-05-07 20:00:00",41.3243,-70.5657,0,"b",18.416,2.448,221.185,34.291,7.522,1,1
"MVCO_312","MVCO_312_01",,,"2013-06-16 16:30:00",41.3243,-70.5657,15,"a",28.527,4.559,342.626,63.86,6.257,1,1
"MVCO_312","MVCO_312_02",,,"2013-06-16 16:30:00",41.3243,-70.5657,10,"a",27.119,3.967,325.723,55.56,6.837,1,1
"MVCO_312","MVCO_312_03",,,"2013-06-16 16:30:00",41.3243,-70.5657,6,"a",20.934,3.078,251.434,43.11,6.802,1,1
"MVCO_312","MVCO_312_04",,,"2013-06-16 16:30:00",41.3243,-70.5657,2,"a",21.156,2.874,254.103,40.257,7.361,1,1
"MVCO_313","MVCO_313_01",,,"2013-06-21 16:30:00",41.3243,-70.5657,15,"a",24.508,3.3,294.361,46.222,7.427,1,1
"MVCO_313","MVCO_313_02",,,"2013-06-21 16:30:00",41.3243,-70.5657,10,"a",26.212,3.615,314.824,50.632,7.251,1,1
"MVCO_313","MVCO_313_03",,,"2013-06-21 16:30:00",41.3243,-70.5657,6,"a",23.379,2.874,280.794,40.257,8.134,1,1
"MVCO_313","MVCO_313_04",,,"2013-06-21 16:30:00",41.3243,-70.5657,2,"a",23.23,3.152,279.014,44.147,7.37,1,1
"MVCO_313","MVCO_313_01",,,"2013-06-21 16:30:00",41.3243,-70.5657,15,"b",21.768,3.022,261.443,42.332,7.202,1,1
"MVCO_313","MVCO_313_02",,,"2013-06-21 16:30:00",41.3243,-70.5657,10,"b",28.842,4.152,346.408,58.154,6.947,1,1
"MVCO_314","MVCO_314_01",,,"2013-07-13 14:15:00",41.3243,-70.5657,15,"a",18.076,2.215,217.111,31.028,8.16,1,1
"MVCO_314","MVCO_314_02",,,"2013-07-13 14:15:00",41.3243,-70.5657,10,"a",16.484,2.234,197.983,31.288,7.379,1,1
"MVCO_314","MVCO_314_03",,,"2013-07-13 14:15:00",41.3243,-70.5657,6,"a",16.632,2.234,199.762,31.288,7.446,1,1
"MVCO_314","MVCO_314_04",,,"2013-07-13 14:15:00",41.3243,-70.5657,2,"a",15.41,1.863,185.082,26.1,8.27,1,1
"MVCO_315","MVCO_315_00",,,"2013-07-17 19:00:00",41.3243,-70.5657,0,"a",29.28,3.623,351.675,50.741,8.083,3,3
"MVCO_315","MVCO_315_00",,,"2013-07-17 19:00:00",41.3243,-70.5657,0,"b",19.188,2.826,230.456,39.588,6.789,1,1
"MVCO_316","MVCO_316_01",,,"2013-08-01 15:30:00",41.3243,-70.5657,13,"a",36.984,5.974,444.202,83.683,6.19,1,1
"MVCO_316","MVCO_316_02",,,"2013-08-01 15:30:00",41.3243,-70.5657,10,"a",23.558,3.549,282.947,49.704,6.639,1,1
"MVCO_316","MVCO_316_03",,,"2013-08-01 15:30:00",41.3243,-70.5657,6,"a",25.132,3.678,301.853,51.519,6.833,1,1
"MVCO_316","MVCO_316_04",,,"2013-08-01 15:30:00",41.3243,-70.5657,0,"a",24.576,5.512,295.181,77.198,4.459,1,1
"MVCO_317","MVCO_317_01",,,"2013-08-13 14:00:00",41.3243,-70.5657,13,"a",24.225,4.697,290.955,65.785,5.158,1,1
"MVCO_317","MVCO_317_02",,,"2013-08-13 14:00:00",41.3243,-70.5657,10,"a",21.614,5.067,259.593,70.973,4.265,1,1
"MVCO_317","MVCO_317_03",,,"2013-08-13 14:00:00",41.3243,-70.5657,6,"a",24.891,4.937,298.962,69.157,5.041,1,1
"MVCO_317","MVCO_317_04",,,"2013-08-13 14:00:00",41.3243,-70.5657,2,"a",33.965,4.882,407.948,68.379,6.957,1,1
"MVCO_317","MVCO_317_04",,,"2013-08-13 14:00:00",41.3243,-70.5657,2,"b",36.669,4.882,440.421,68.379,7.511,1,1
"MVCO_318","MVCO_318_00",,,"2013-08-23 14:30:00",41.3243,-70.5657,0,"a",33.928,4.826,407.503,67.601,7.03,1,1
"MVCO_318","MVCO_318_00",,,"2013-08-23 14:30:00",41.3243,-70.5657,0,"b",32.706,3.697,392.823,51.779,8.847,1,1
"MVCO_319","MVCO_319_00",,,"2013-09-06 22:30:00",41.325,-70.5657,0,"a",28.071,2.746,337.158,38.457,10.224,1,1
"MVCO_320","MVCO_320_01",,,"2013-09-19 20:00:00",41.325,-70.5657,13,"a",37.497,4.486,450.37,62.839,8.358,1,1
"MVCO_320","MVCO_320_02",,,"2013-09-19 20:00:00",41.325,-70.5657,10,"a",33.775,3.894,405.664,54.539,8.674,1,1
"MVCO_320","MVCO_320_03",,,"2013-09-19 20:00:00",41.325,-70.5657,6,"a",28.257,3.097,339.382,43.386,9.122,1,1
"MVCO_320","MVCO_320_04",,,"2013-09-19 20:00:00",41.325,-70.5657,0,"a",47.609,5.468,571.812,76.587,8.707,1,1
"MVCO_320","MVCO_320_04",,,"2013-09-19 20:00:00",41.325,-70.5657,0,"b",44.479,5.505,534.222,77.105,8.08,1,1
"MVCO_321","MVCO_321_01",,,"2013-10-15 16:41:00",41.325,-70.5657,13,"a",21.979,2.709,263.982,37.939,8.114,1,1
"MVCO_321","MVCO_321_01",,,"2013-10-15 16:41:00",41.325,-70.5657,13,"b",23.923,2.912,287.336,40.792,8.215,3,3
"MVCO_321","MVCO_321_02",,,"2013-10-15 16:41:00",41.325,-70.5657,10,"a",24.146,2.801,290.005,39.235,8.62,3,3
"MVCO_321","MVCO_321_03",,,"2013-10-15 16:41:00",41.325,-70.5657,6,"a",26.164,14.616,314.249,204.722,1.79,3,3
"MVCO_321","MVCO_321_04",,,"2013-10-15 16:41:00",41.325,-70.5657,2,"a",22.609,11.597,271.544,162.443,1.949,3,3
"MVCO_322","MVCO_322_01",,,"2013-10-29 18:30:00",41.325,-70.5657,13,"a",26.294,17.116,315.806,239.739,1.536,1,3
"MVCO_322","MVCO_322_02",,,"2013-10-29 18:30:00",41.325,-70.5657,10,"a",23.942,12.579,287.558,176.19,1.903,1,3
"MVCO_322","MVCO_322_03",,,"2013-10-29 18:30:00",41.325,-70.5657,6,"a",24.997,9.857,300.236,138.061,2.536,1,3
"MVCO_322","MVCO_322_04",,,"2013-10-29 18:30:00",41.325,-70.5657,2,"a",26.294,3.338,315.806,46.758,7.877,1,1
"MVCO_323","MVCO_323_01",,,"2013-11-21 19:15:00",41.325,-70.5657,13,"a",25.275,3.301,303.573,46.239,7.656,1,1
"MVCO_323","MVCO_323_02",,,"2013-11-21 19:15:00",41.325,-70.5657,10,"a",38.053,4.005,457.043,56.095,9.502,1,1
"MVCO_323","MVCO_323_03",,,"2013-11-21 19:15:00",41.325,-70.5657,6,"a",26.609,3.357,319.587,47.017,7.927,1,1
"MVCO_323","MVCO_323_04",,,"2013-11-21 19:15:00",41.325,-70.5657,2,"a",26.646,3.097,320.032,43.386,8.602,1,1
"MVCO_324","MVCO_324_01",,,"2014-01-16 21:00:00",41.325,-70.5657,13,"a",53.497,6.172,642.541,86.443,8.668,1,1
"MVCO_324","MVCO_324_02",,,"2014-01-16 21:00:00",41.325,-70.5657,10,"a",44.571,4.579,535.335,64.136,9.734,1,1
"MVCO_324","MVCO_324_03",,,"2014-01-16 21:00:00",41.325,-70.5657,6,"a",30.997,3.264,372.3,45.72,9.496,1,1
"MVCO_324","MVCO_324_04",,,"2014-01-16 21:00:00",41.325,-70.5657,0,"a",33.497,3.153,402.327,44.164,10.624,1,1
"MVCO_325","MVCO_325_01",,,"2014-02-26 15:40:00",41.325,-70.5657,14,"a",67.053,8.394,805.353,117.569,7.988,1,1
"MVCO_325","MVCO_325_02",,,"2014-02-26 15:40:00",41.325,-70.5657,10,"a",37.479,4.56,450.148,63.877,8.218,1,1
"MVCO_325","MVCO_325_03",,,"2014-02-26 15:40:00",41.325,-70.5657,6,"a",20.627,2.042,247.745,28.601,10.102,3,3
"MVCO_325","MVCO_325_04",,,"2014-02-26 15:40:00",41.325,-70.5657,0,"a",27.534,3.283,330.708,45.979,8.388,1,1
"MVCO_325","MVCO_325_03",,,"2014-02-26 15:40:00",41.325,-70.5657,6,"b",32.915,3.978,395.336,55.713,8.275,1,1
"MVCO_326","MVCO_326_01",,,"2014-04-02 18:20:00",41.325,-70.5657,15,"a",90.013,7.51,1081.114,105.197,11.985,1,1
"MVCO_326","MVCO_326_02",,,"2014-04-02 18:20:00",41.325,-70.5657,10,"a",32.226,3.113,387.059,43.606,10.351,1,1
"MVCO_326","MVCO_326_03",,,"2014-04-02 18:20:00",41.325,-70.5657,6,"a",33.45,3.153,401.762,44.164,10.609,1,1
"MVCO_326","MVCO_326_04",,,"2014-04-02 18:20:00",41.325,-70.5657,2,"a",30.654,17.32,368.176,242.592,1.77,4,4
"MVCO_326","MVCO_326_04",,,"2014-04-02 18:20:00",41.325,-70.5657,2,"b",30.511,3.157,366.464,44.217,9.665,1,1
"MVCO_326","MVCO_326_01",,,"2014-04-02 18:20:00",41.325,-70.5657,15,"b",61.765,5.803,741.846,81.287,10.643,1,1
"MVCO_327","MVCO_327_00",,,"2014-05-30 19:45:00",41.325,-70.5657,0,"b",20.58,2.468,247.18,34.567,8.339,1,1
"MVCO_327","MVCO_327_00",,,"2014-05-30 19:45:00",41.325,-70.5657,0,"a",18.469,2.32,221.824,32.491,7.962,1,1
"MVCO_328","MVCO_328_01",,,"2014-06-25 15:45:00",41.325,-70.5657,15,"a",20.95,2.616,251.628,36.642,8.009,1,1
"MVCO_328","MVCO_328_02",,,"2014-06-25 15:45:00",41.325,-70.5657,10,"a",20.154,2.468,242.064,34.567,8.167,1,1
"MVCO_328","MVCO_328_03",,,"2014-06-25 15:45:00",41.325,-70.5657,6,"a",20.728,2.338,248.959,32.751,8.865,1,1
"MVCO_328","MVCO_328_04",,,"2014-06-25 15:45:00",41.325,-70.5657,2,"a",19.636,2.523,235.836,35.345,7.781,1,1
"MVCO_329","MVCO_329_01",,,"2014-08-05 22:20:00",41.325,-70.5657,15,"a",24.254,2.901,291.306,40.628,8.362,1,1
"MVCO_329","MVCO_329_02",,,"2014-08-05 22:20:00",41.325,-70.5657,10,"a",21.883,2.697,262.836,37.775,8.114,1,1
"MVCO_329","MVCO_329_03",,,"2014-08-05 22:20:00",41.325,-70.5657,6,"a",28.976,3.234,348.023,45.297,8.96,1,1
"MVCO_329","MVCO_329_04",,,"2014-08-05 22:20:00",41.325,-70.5657,2,"a",22.013,2.456,264.393,34.403,8.962,1,1
"MVCO_329","MVCO_329_03",,,"2014-08-05 22:20:00",41.325,-70.5657,6,"b",20.532,2.215,246.599,31.031,9.268,1,1
